TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63801051585616.00,3.5,2,0,0,1.5,--
63801051586629.00,3.5,2,0,0,1.5,--
63801051587624.00,3.5,2,0,0,1.5,--
63801051588629.00,4.2,2.7,0,0,1.5,--
63801051589624.00,3.4,1.9,0,0,1.5,--
63801051590630.00,3.5,2,0,0,1.5,--
63801051591642.00,3.5,2.1,0,0,1.5,--
63801051592640.00,3.4,2,0,0,1.5,--
63801051593642.00,4.1,2.6,0,0,1.5,--
63801051594656.00,3.8,2.3,0,0,1.5,--
63801051595657.00,3.6,2.2,0,0,1.5,--
63801051596671.00,3.3,1.9,0,0,1.5,--
63801051597698.00,3.6,2.1,0,0,1.5,--
63801051598696.00,3.7,2.2,0,0,1.5,--
63801051599695.00,5.8,4.3,0,0,1.5,--
63801051600686.00,3.9,2.4,0,0,1.5,--
63801051601709.00,3.8,2.4,0,0,1.5,--
63801051602726.00,3.3,1.8,0,0,1.5,--
63801051603728.00,3.4,1.9,0,0,1.5,--
63801051604727.00,4.1,2.6,0,0,1.5,--
63801051605733.00,3.4,1.9,0,0,1.5,--
63801051606749.00,3.3,1.8,0,0,1.5,--
63801051607764.00,3.6,2.1,0,0,1.5,--
63801051608788.00,3.2,1.7,0,0,1.5,--
63801051609808.00,4.4,2.9,0,0,1.5,--
